id,no,desc,meaning,example,cardSet,image_front,image_back,image_size_w,image_size_h,zoom_ratio
1,1,,,,emotion,emotion_front_1.jpg,emotion_back_1.jpg,128,72,4
2,2,,,,emotion,emotion_front_2.jpg,emotion_back_2.jpg,128,72,4
3,3,,,,emotion,emotion_front_3.jpg,emotion_back_3.jpg,128,72,4
4,4,,,,emotion,emotion_front_4.jpg,emotion_back_4.jpg,128,72,4
5,5,,,,emotion,emotion_front_5.jpg,emotion_back_5.jpg,128,72,4
6,6,,,,emotion,emotion_front_6.jpg,emotion_back_6.jpg,128,72,4
7,7,,,,emotion,emotion_front_7.jpg,emotion_back_7.jpg,128,72,4
8,8,,,,emotion,emotion_front_8.jpg,emotion_back_8.jpg,128,72,4
9,9,,,,emotion,emotion_front_9.jpg,emotion_back_9.jpg,128,72,4
10,10,,,,emotion,emotion_front_10.jpg,emotion_back_10.jpg,128,72,4
11,11,,,,emotion,emotion_front_11.jpg,emotion_back_11.jpg,128,72,4
12,12,,,,emotion,emotion_front_12.jpg,emotion_back_12.jpg,128,72,4
13,13,,,,emotion,emotion_front_13.jpg,emotion_back_13.jpg,128,72,4
14,14,,,,emotion,emotion_front_14.jpg,emotion_back_14.jpg,128,72,4
15,15,,,,emotion,emotion_front_15.jpg,emotion_back_15.jpg,128,72,4
16,16,,,,emotion,emotion_front_16.jpg,emotion_back_16.jpg,128,72,4
17,17,,,,emotion,emotion_front_17.jpg,emotion_back_17.jpg,128,72,4
18,18,,,,emotion,emotion_front_18.jpg,emotion_back_18.jpg,128,72,4
19,19,,,,emotion,emotion_front_19.jpg,emotion_back_19.jpg,128,72,4
20,20,,,,emotion,emotion_front_20.jpg,emotion_back_20.jpg,128,72,4
21,21,,,,emotion,emotion_front_21.jpg,emotion_back_21.jpg,128,72,4
22,22,,,,emotion,emotion_front_22.jpg,emotion_back_22.jpg,128,72,4
23,23,,,,emotion,emotion_front_23.jpg,emotion_back_23.jpg,128,72,4
24,24,,,,emotion,emotion_front_24.jpg,emotion_back_24.jpg,128,72,4
25,25,,,,emotion,emotion_front_25.jpg,emotion_back_25.jpg,128,72,4
26,26,,,,emotion,emotion_front_26.jpg,emotion_back_26.jpg,128,72,4
